property_types,prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios
Habitación,45.0,4.66,47.0,20.0,,1.0,0.5,2.0,840.0,660.0,10.0,0,5,0,0,10,10,0,0,2,0,4,0,3
Habitación,50.0,4.91,0.0,10.0,,1.0,0.5,2.0,960.0,720.0,8.0,0,6,1,1,0,8,1,0,1,0,1,0,3
Alojamiento entero,276.0,0.0,0.0,170.0,2.0,3.0,1.0,4.0,900.0,660.0,9.0,0,0,1,0,13,1,1,0,1,0,0,3,2
Habitación,67.0,4.9,0.0,0.0,,2.0,0.5,2.0,780.0,660.0,11.0,3,3,3,3,19,8,5,5,2,2,5,0,7
Habitación,52.0,4.76,283.0,0.0,1.0,1.0,1.0,1.0,840.0,660.0,10.0,1,4,2,1,0,8,0,1,2,0,0,4,3
Habitación,50.0,4.33,12.0,,,1.0,0.5,2.0,840.0,720.0,10.0,1,2,2,1,2,3,0,0,1,0,4,0,1
Habitación,170.0,4.8,1386.0,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,1,2,2,0,7,5,1,0,2,0,0,5,3
Habitación,49.0,0.0,0.0,40.0,,1.0,0.5,2.0,900.0,660.0,9.0,0,0,1,0,1,0,0,0,1,0,1,0,1
Habitación,61.0,5.0,0.0,20.0,,1.0,1.0,2.0,900.0,720.0,9.0,0,4,2,0,0,0,0,0,1,0,6,0,0
Alojamiento entero,115.0,4.76,0.0,65.0,2.0,3.0,1.0,6.0,900.0,660.0,9.0,2,5,5,0,10,8,2,1,2,2,0,2,1
Habitación,40.0,0.0,0.0,25.0,,1.0,0.5,2.0,960.0,660.0,8.0,2,4,2,1,11,9,1,0,2,1,1,0,3
Habitación,68.0,0.0,0.0,0.0,,1.0,0.5,2.0,840.0,840.0,10.0,0,1,0,1,9,2,0,0,1,0,1,1,0
Habitación,40.0,4.56,9.0,0.0,1.0,3.0,2.0,3.0,840.0,660.0,10.0,0,5,2,0,11,7,0,0,2,0,0,0,0
Habitación,27.0,0.0,0.0,35.0,,1.0,0.5,2.0,900.0,660.0,9.0,0,0,0,0,1,0,0,0,1,0,1,0,0
Alojamiento entero,125.0,4.89,0.0,75.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1,3,2,0,8,4,1,2,1,0,0,1,0
Alojamiento entero,112.0,4.82,44.0,60.0,1.0,2.0,1.0,3.0,840.0,660.0,10.0,0,2,2,0,2,4,1,0,1,1,0,0,0
Alojamiento entero,108.0,4.9,0.0,0.0,2.0,2.0,1.0,2.0,840.0,660.0,10.0,1,1,2,0,9,4,2,0,1,0,0,0,1
Alojamiento entero,74.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,900.0,660.0,9.0,1,2,0,0,5,0,2,0,2,0,0,1,0
