prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
51.0,0.0,0.0,0.0,1.0,1.1,0.5,2.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
32.0,4.51,81.0,0.0,1.0,1.0,0.5,1.0,780.0,660.0,11.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
63.0,4.43,23.0,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,4.78,116.0,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,1.0,1.0,1.0,0.0,8.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
36.0,4.53,15.0,0.0,1.0,1.0,0.5,1.0,840.0,660.0,10.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
128.0,0.0,0.0,60.0,3.0,6.0,2.0,6.0,900.0,660.0,9.0,0.0,4.0,2.0,0.0,15.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,4.25,112.0,0.0,1.0,1.0,0.5,1.0,840.0,600.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0
111.0,4.8,573.0,50.0,2.0,3.0,2.0,5.0,900.0,660.0,9.0,2.0,7.0,2.0,0.0,15.0,10.0,2.0,2.0,2.0,7.0,0.0,2.0,4.0,0.0,0.0
55.0,4.46,26.0,25.0,1.0,1.0,1.0,3.0,900.0,660.0,9.0,0.0,4.0,2.0,2.0,7.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
45.0,4.79,0.0,0.0,1.0,1.0,0.5,1.0,660.0,660.0,13.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
61.0,5.0,3.0,40.0,1.0,1.0,0.5,2.0,660.0,660.0,13.0,0.0,6.0,2.0,0.0,14.0,8.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0
34.0,4.43,390.0,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,4.0,5.0,2.0,2.0,9.0,9.0,3.0,3.0,3.0,5.0,0.0,4.0,5.0,1.0,0.0
48.0,0.0,2.0,0.0,1.0,1.0,0.55,2.0,906.0,612.0,8.9,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
82.0,4.69,160.0,0.0,1.0,2.0,1.0,2.0,912.0,660.0,8.8,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
43.0,0.0,0.0,35.0,1.0,3.0,0.5,4.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
108.0,4.59,216.0,0.0,1.0,2.0,1.0,2.0,900.0,660.0,9.0,2.0,7.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0
146.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,840.0,720.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
125.0,4.66,191.0,0.0,3.0,3.0,1.0,5.0,900.0,660.0,9.0,1.0,3.0,2.0,0.0,10.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
169.0,4.83,311.0,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.0,4.0,2.0,0.0,12.0,7.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0
99.0,4.61,496.0,65.0,2.0,3.0,1.0,4.0,960.0,720.0,8.0,1.0,6.0,2.0,3.0,13.0,10.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0
66.0,4.71,291.0,0.0,1.0,2.0,1.0,2.0,840.0,660.0,10.0,2.0,6.0,2.0,1.0,1.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
